"Note: The Microsoft product information contained in this document at the time of its publication is a representative example of products offered through various Visual Studio Subscription levels. To confirm specific product availability, visit https://my.visualstudio.com/downloads/. The below product offerings contained in this document are accurate at the time of publication. Microsoft reserves the right to change these product offerings at any time.
"AutoRoute 2010","ü","ü","ü","","ü","","","","","","","","ü","ü","","ü","ü","ü","","ü","","","ü",""
"AutoRoute 2011","ü","ü","ü","","ü","","","","","","","","ü","ü","","ü","ü","ü","","ü","","","ü",""
"AutoRoute 2013","ü","ü","ü","","ü","","","","","","","","ü","ü","","ü","ü","ü","","ü","","","ü",""
"Azure DevOps Office Integration 2019 (version 16.0)","ü","ü","ü","ü","ü","ü","ü","ü","ü","ü","ü","ü","ü","ü","ü","ü","ü","ü","","ü","ü","ü","ü","ü"
"Azure DevOps Server 2019","ü","ü","ü","ü","ü","ü","ü","ü","ü","ü","ü","ü","ü","ü","ü","ü","ü","ü","","ü","ü","ü","ü","ü"
"Azure DevOps Server 2019 with Update 1","ü","ü","ü","ü","ü","ü","ü","ü","ü","ü","ü","ü","ü","ü","ü","ü","ü","ü","","ü","ü","ü","ü","ü"
"Azure DevOps Server 2019 with Update 1.1","ü","ü","ü","ü","ü","ü","ü","ü","ü","ü","ü","ü","ü","ü","ü","ü","ü","ü","","ü","ü","ü","ü","ü"
"Azure DevOps Server 2020","ü","ü","ü","ü","ü","ü","ü","ü","ü","ü","ü","ü","ü","ü","ü","ü","ü","ü","","ü","ü","ü","ü","ü"
"Azure DevOps Server Express 2019","ü","ü","ü","ü","ü","ü","ü","ü","ü","ü","ü","ü","ü","ü","ü","ü","ü","ü","","ü","ü","ü","ü","ü"
"Azure DevOps Server Express 2019 with Update 1","ü","ü","ü","ü","ü","ü","ü","ü","ü","ü","ü","ü","ü","ü","ü","ü","ü","ü","","ü","ü","ü","ü","ü"
"Azure DevOps Server Express 2019 with Update 1.1","ü","ü","ü","ü","ü","ü","ü","ü","ü","ü","ü","ü","ü","ü","ü","ü","ü","ü","","ü","ü","ü","ü","ü"
"Azure DevOps Server Express 2020","ü","ü","ü","ü","ü","ü","ü","ü","ü","ü","ü","ü","ü","ü","ü","ü","ü","ü","","ü","ü","ü","ü","ü"
"Bank Framework SDK","ü","ü","ü","","ü","ü","ü","ü","","ü","ü","ü","ü","ü","ü","ü","ü","ü","","","ü","ü","ü",""
"Baseline Security Analyzer 2.0.1","ü","ü","ü","","ü","ü","ü","ü","","ü","ü","ü","ü","ü","ü","ü","ü","ü","","","ü","ü","ü",""
"BizTalk Accelerator Service Pack","ü","ü","ü","","ü","","","","","","","","ü","ü","","ü","ü","ü","","","","","ü",""
"BizTalk Server 2002 Developer","ü","ü","ü","","ü","","","","","","","","ü","ü","","ü","ü","ü","","","","","ü",""
"BizTalk Server 2004 Developer","ü","ü","ü","","ü","","","","","","","","ü","ü","","ü","ü","ü","","","","","ü",""
"BizTalk Server 2004 Enterprise","ü","ü","ü","","ü","","","","","","","","ü","ü","","ü","ü","ü","","","","","ü",""
"BizTalk Server 2004 Partner","ü","ü","ü","","ü","","","","","","","","ü","ü","","ü","ü","ü","","","","","ü",""
"BizTalk Server 2004 Service Pack","ü","ü","ü","","ü","","","","","","","","ü","ü","","ü","ü","ü","","","","","ü",""
"BizTalk Server 2004 Standard","ü","ü","ü","","ü","","","","","","","","ü","ü","","ü","ü","ü","","","","","ü",""
"BizTalk Server 2006 Accelerators and Adapters","ü","ü","ü","","ü","","","","","","","","ü","ü","","ü","ü","ü","","","","","ü",""
"BizTalk Server 2006 Developer","ü","ü","ü","","ü","","","","","","","","ü","ü","","ü","ü","ü","","","","","ü",""
"BizTalk Server 2006 Enterprise","ü","ü","ü","","ü","","","","","","","","ü","ü","","ü","ü","ü","","","","","ü",""
"BizTalk Server 2006 R2 Accelerators and Adapters","ü","ü","ü","","ü","","","","","","","","ü","ü","","ü","ü","ü","","","","","ü",""
"BizTalk Server 2006 R2 Branch","ü","ü","ü","","ü","","","","","","","","ü","ü","","ü","ü","ü","","","","","ü",""
"BizTalk Server 2006 R2 Developer","ü","ü","ü","","ü","","","","","","","","ü","ü","","ü","ü","ü","","","","","ü",""
"BizTalk Server 2006 R2 Enterprise","ü","ü","ü","","ü","","","","","","","","ü","ü","","ü","ü","ü","","","","","ü",""
"BizTalk Server 2006 R2 Standard","ü","ü","ü","","ü","","","","","","","","ü","ü","","ü","ü","ü","","","","","ü",""
